country,year,tonnes,type,mineral,fobvalue,trade_concentration_index,stability_index,political_risk_index,stability_scaled,trade_scaled,risk_scaled,risk_score
Philippines,2023,400000.0,mine,nickel,1785337794.0,0.015034173688618976,23.6966819763184,-22.6966819763184,0.24691357833004487,0.015034173688618976,0.7530864216699553,0.5316707472755543
United States,2023,17000.0,mine,nickel,25835260811.0,0.21881324065881744,47.3933639526367,-46.3933639526367,0.5555555527952637,0.21881324065881744,0.4444444472047364,0.3767550852409607
Canada,2023,16.0,"mine, palladium",platinum group metals,3342411788.887,0.02822752510422831,76.3033142089844,-75.3033142089844,0.9320987387876148,0.02822752510422831,0.06790126121238538,0.05599914037993817
South Africa,2023,71.0,"mine, palladium",platinum group metals,8212368185.99,0.06949148965354147,20.8530807495117,-19.8530807495117,0.20987654934385866,0.06949148965354147,0.7901234506561414,0.5739338623553614
United States,2023,9.8,"mine, palladium",platinum group metals,35390261555.0,0.29977437866892803,47.3933639526367,-46.3933639526367,0.5555555527952637,0.29977437866892803,0.4444444472047364,0.40104342664399384
Zimbabwe,2023,15.0,"mine, palladium",platinum group metals,121542603.57000001,0.000936555525946705,15.1658763885498,-14.1658763885498,0.13580246652886013,0.000936555525946705,0.86419753347114,0.605219240087582
Canada,2023,5.5,"mine, platinum",platinum group metals,3342411788.887,0.02822752510422831,76.3033142089844,-75.3033142089844,0.9320987387876148,0.02822752510422831,0.06790126121238538,0.05599914037993817
South Africa,2023,120.0,"mine, platinum",platinum group metals,8212368185.99,0.06949148965354147,20.8530807495117,-19.8530807495117,0.20987654934385866,0.06949148965354147,0.7901234506561414,0.5739338623553614
United States,2023,2.9,"mine, platinum",platinum group metals,35390261555.0,0.29977437866892803,47.3933639526367,-46.3933639526367,0.5555555527952637,0.29977437866892803,0.4444444472047364,0.40104342664399384
Zimbabwe,2023,19.0,"mine, platinum",platinum group metals,121542603.57000001,0.000936555525946705,15.1658763885498,-14.1658763885498,0.13580246652886013,0.000936555525946705,0.86419753347114,0.605219240087582
Australia,2023,18000.0,mine,rare earths,1659350514.307,0.013966662150731503,79.620849609375,-78.620849609375,0.97530861421904,0.013966662150731503,0.024691385780960085,0.021473968691891464
Brazil,2023,80.0,mine,rare earths,586980648.0,0.0048802908285227545,28.4360198974609,-27.4360198974609,0.3086419930971899,0.0048802908285227545,0.6913580069028102,0.48541469208052396
Canada,2023,0.0,mine,rare earths,1489409806.7609997,0.012526725781725232,76.3033142089844,-75.3033142089844,0.9320987387876148,0.012526725781725232,0.06790126121238538,0.05128890058318725
China,2023,240000.0,mine,rare earths,72271513476.0,0.6122754665036668,25.1184825897217,-24.1184825897217,0.26543209282313734,0.6122754665036668,0.7345679071768627,0.697880174974904
India,2023,2900.0,mine,rare earths,3392656927.2710004,0.028653260663233742,21.3270149230957,-20.3270149230957,0.21604939578909896,0.028653260663233742,0.7839506042109012,0.5573614011466009
Madagascar,2023,960.0,mine,rare earths,34427213.416999996,0.0001984120852556591,19.9052124023438,-18.9052124023438,0.19753085645337923,0.0001984120852556591,0.8024691435466209,0.5617879241082113
Malaysia,2023,80.0,mine,rare earths,2773575454.305,0.023407678594202883,50.7108993530273,-49.7108993530273,0.5987654282266891,0.023407678594202883,0.4012345717733111,0.2878865038195786
Myanmar,2023,38000.0,mine,rare earths,39409985.50399999,0.00024063195623388515,4.7393364906311,-3.7393364906311,0.0,0.00024063195623388515,1.0,0.7000721895868702
South Africa,2023,0.0,mine,rare earths,1830552424.358,0.01541728490195811,20.8530807495117,-19.8530807495117,0.20987654934385866,0.01541728490195811,0.7901234506561414,0.5577116009298864
Tanzania,2023,0.0,mine,rare earths,11010699.41,0.0,44.0758285522461,-43.0758285522461,0.5123456773638384,0.0,0.4876543226361617,0.34135802584531316
Thailand,2023,7100.0,mine,rare earths,728084544.3180001,0.0060758880168054995,36.0189590454102,-35.0189590454102,0.40740743685052255,0.0060758880168054995,0.5925925631494775,0.4166375606096759
United States,2023,43000.0,mine,rare earths,23090903557.0,0.19555983730040719,47.3933639526367,-46.3933639526367,0.5555555527952637,0.19555983730040719,0.4444444472047364,0.36977906423343765
Vietnam,2023,600.0,mine,rare earths,4530816943.374001,0.03829708305635785,45.0236968994141,-44.0236968994141,0.5246913702543191,0.03829708305635785,0.475308629745681,0.34420516573888404
